證券代碼,股權數
1101 台泥,6736182
1216 統一,5682015
1301 台塑,6365741
1303 南亞,7930822
1326 台化,5861186
2002 中鋼,15734861
2207 和泰車,546179
2227 裕日車,300000
2303 聯電,12482123
2308 台達電,2597543
2317 鴻海,13862991
2327 國巨,529272
2330 台積電,25930380
2352 佳世達,1966782
2357 華碩,742760
2379 瑞昱,512864
2382 廣達,3862627
2395 研華,777843
2408 南亞科,3098006
2409 友達,7699396
2412 中華電,7757447
2454 聯發科,1599310
2603 長榮,2116420
2609 陽明,3492104
2610 華航,6013537
2616 山隆,137282
2801 彰銀,10593457
2880 華南金,13642746
2881 富邦金,12395213
2882 國泰金,13169210
2883 開發金,16847244
2884 玉山金,14275100
2885 元大金,12501559
2886 兆豐金,13939820
2887 台新金,11974148
2890 永豐金,11383765
2891 中信金,19496990
2892 第一金,13223442
2912 統一超,1039622
3008 大立光,133468
3034 聯詠,608512
3037 欣興,1475260
3045 台灣大,3519234
4904 遠傳,3340343
5876 上海商銀,4481603
5880 合庫金,14008935
6505 台塑化,9525960
8046 南電,646166
9910 豐泰,881681
